Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
assignment ,618 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,619 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_true_jmp_up ,620 ,20 ,0.000001 ,0.000001 ,0.000000050000000
assignment ,621 ,20 ,0.000006 ,0.000007 ,0.000000350000000
prop_getter ,622 ,20 ,0.000018 ,0.000039 ,0.000001950000000
assignment ,623 ,20 ,0.000006 ,0.000007 ,0.000000350000000
assignment ,627 ,20 ,0.000001 ,0.000001 ,0.000000050000000
b_shift_right ,628 ,20 ,0.000002 ,0.000021 ,0.000001050000000
prop_getter ,629 ,20 ,0.000008 ,0.000028 ,0.000001400000000
assignment ,630 ,20 ,0.000001 ,0.000001 ,0.000000050000000
assignment ,631 ,20 ,0.000003 ,0.000023 ,0.000001150000000
assignment ,632 ,20 ,0.000000 ,0.000001 ,0.000000050000000
remainder ,633 ,20 ,0.000002 ,0.000037 ,0.000001850000000
substraction ,634 ,20 ,0.000001 ,0.000002 ,0.000000100000000
assignment ,635 ,20 ,0.000001 ,0.000001 ,0.000000050000000
multiplication ,636 ,20 ,0.000001 ,0.000002 ,0.000000100000000
assignment ,637 ,20 ,0.000000 ,0.000001 ,0.000000050000000
addition ,638 ,20 ,0.000002 ,0.000021 ,0.000001050000000
b_shift_right ,639 ,20 ,0.000002 ,0.000002 ,0.000000100000000
assignment ,640 ,20 ,0.000001 ,0.000001 ,0.000000050000000
b_and ,641 ,40 ,0.000000 ,0.000008 ,0.000000200000000
assignment ,643 ,20 ,0.000006 ,0.000007 ,0.000000350000000
prop_getter ,644 ,20 ,0.000019 ,0.000047 ,0.000002350000000
assignment ,645 ,20 ,0.000006 ,0.000007 ,0.000000350000000
assignment ,649 ,20 ,0.000001 ,0.000001 ,0.000000050000000
b_shift_right ,650 ,20 ,0.000001 ,0.000003 ,0.000000150000000
prop_getter ,651 ,20 ,0.000008 ,0.000027 ,0.000001350000000
assignment ,652 ,20 ,0.000000 ,0.000001 ,0.000000050000000
assignment ,653 ,20 ,0.000003 ,0.000004 ,0.000000200000000
assignment ,654 ,20 ,0.000001 ,0.000001 ,0.000000050000000
remainder ,655 ,20 ,0.000002 ,0.000003 ,0.000000150000000
substraction ,656 ,20 ,0.000001 ,0.000002 ,0.000000100000000
assignment ,657 ,20 ,0.000001 ,0.000001 ,0.000000050000000
multiplication ,658 ,20 ,0.000001 ,0.000002 ,0.000000100000000
b_shift_right ,659 ,20 ,0.000001 ,0.000002 ,0.000000100000000
assignment ,660 ,20 ,0.000001 ,0.000001 ,0.000000050000000
b_and ,661 ,40 ,0.000000 ,0.000002 ,0.000000050000000
addition ,663 ,20 ,0.000004 ,0.000006 ,0.000000300000000
addition ,664 ,20 ,0.000013 ,0.000044 ,0.000002200000000
assignment ,665 ,20 ,0.000005 ,0.000007 ,0.000000350000000
jmp_down ,666 ,21 ,0.000001 ,0.000008 ,0.000000380952381
assignment ,667 ,21 ,0.000003 ,0.000004 ,0.000000190476190
assignment ,668 ,21 ,0.000001 ,0.000008 ,0.000000380952381
prop_getter ,669 ,21 ,0.000008 ,0.000009 ,0.000000428571429
assignment ,670 ,21 ,0.000001 ,0.000001 ,0.000000047619048
multiplication ,671 ,21 ,0.000001 ,0.000008 ,0.000000380952381
less_than ,672 ,21 ,0.000002 ,0.000004 ,0.000000190476190
is_true_jmp_up ,673 ,2 ,0.000001 ,0.000006 ,0.000003000000000
func_decl_n ,675 ,1 ,0.000031 ,0.000031 ,0.000031000000000
func_decl_n ,800 ,1 ,0.000034 ,0.000034 ,0.000034000000000
assignment ,801 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,802 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,803 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,804 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,805 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,806 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,807 ,1 ,0.000006 ,0.000006 ,0.000006000000000
assignment ,808 ,1 ,0.000008 ,0.000008 ,0.000008000000000
assignment ,809 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,810 ,1 ,0.000006 ,0.000006 ,0.000006000000000
is_true_jmp_up ,811 ,4 ,0.000001 ,0.000001 ,0.000000250000000
addition ,812 ,4 ,0.000583 ,0.004985 ,0.001246250000000
assignment ,813 ,4 ,0.000007 ,0.000008 ,0.000002000000000
jmp_down ,814 ,5 ,0.000001 ,0.000010 ,0.000002000000000
assignment ,815 ,5 ,0.000004 ,0.000005 ,0.000001000000000
assignment ,816 ,5 ,0.000001 ,0.000001 ,0.000000200000000
less_than ,817 ,5 ,0.000003 ,0.000007 ,0.000001400000000
is_true_jmp_up ,818 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,821 ,1 ,0.000010 ,0.000010 ,0.000010000000000
assignment ,822 ,1 ,0.000007 ,0.000007 ,0.000007000000000
assignment ,823 ,1 ,0.000010 ,0.000010 ,0.000010000000000
assignment ,824 ,1 ,0.000008 ,0.000008 ,0.000008000000000
not_equal_value ,825 ,1 ,0.000062 ,0.000062 ,0.000062000000000
is_false_jmp_down ,832 ,2 ,0.000001 ,0.000001 ,0.000000500000000
